Keyword,Match Type,Historical Clicks,Historical CPC,Landing Page
"apartment renovation dubai",exact,71,AED 27.33,/renovation/apartment/
"apartment renovation cost dubai",exact,11,AED 26.32,/renovation/apartment/
"apartment renovation in dubai",exact,6,AED 20.02,/renovation/apartment/
"dubai apartment renovation",exact,6,AED 13.37,/renovation/apartment/
"apartment renovation company dubai",phrase,2,AED 18.02,/renovation/apartment/
